t,u1,u2
1.1500e+01,1.3445e+01,1.2295e+01
1.1550e+01,1.3451e+01,1.2171e+01
1.1600e+01,1.3346e+01,1.2150e+01
1.1650e+01,1.3244e+01,1.2174e+01
1.1700e+01,1.3168e+01,1.2114e+01
1.1750e+01,1.3105e+01,1.1947e+01
1.1800e+01,1.3081e+01,1.1757e+01
1.1850e+01,1.3115e+01,1.1608e+01
1.1900e+01,1.3147e+01,1.1499e+01
1.1950e+01,1.3085e+01,1.1407e+01
1.2000e+01,1.2944e+01,1.1352e+01
1.2050e+01,1.2866e+01,1.1389e+01
1.2100e+01,1.2997e+01,1.1526e+01
1.2150e+01,1.3323e+01,1.1670e+01
1.2200e+01,1.3657e+01,1.1712e+01
1.2250e+01,1.3800e+01,1.1649e+01
1.2300e+01,1.3707e+01,1.1577e+01
1.2350e+01,1.3509e+01,1.1586e+01
1.2400e+01,1.3391e+01,1.1684e+01
1.2450e+01,1.3445e+01,1.1826e+01
1.2500e+01,1.3608e+01,1.1964e+01
1.2550e+01,1.3741e+01,1.2072e+01
1.2600e+01,1.3767e+01,1.2143e+01
1.2650e+01,1.3695e+01,1.2163e+01
1.2700e+01,1.3577e+01,1.2108e+01
1.2750e+01,1.3483e+01,1.1977e+01
1.2800e+01,1.3477e+01,1.1815e+01
1.2850e+01,1.3544e+01,1.1688e+01
1.2900e+01,1.3604e+01,1.1634e+01
1.2950e+01,1.3601e+01,1.1639e+01
1.3000e+01,1.3555e+01,1.1663e+01
1.3050e+01,1.3502e+01,1.1686e+01
1.3100e+01,1.3447e+01,1.1737e+01
1.3150e+01,1.3412e+01,1.1856e+01
1.3200e+01,1.3479e+01,1.2043e+01
1.3250e+01,1.3718e+01,1.2225e+01
1.3300e+01,1.4035e+01,1.2317e+01
1.3350e+01,1.4178e+01,1.2311e+01
1.3400e+01,1.3966e+01,1.2312e+01
1.3450e+01,1.3508e+01,1.2440e+01
1.3500e+01,1.3129e+01,1.2667e+01
1.3550e+01,1.3054e+01,1.2813e+01
1.3600e+01,1.3201e+01,1.2746e+01
1.3650e+01,1.3325e+01,1.2523e+01
1.3700e+01,1.3307e+01,1.2329e+01
1.3750e+01,1.3235e+01,1.2283e+01
1.3800e+01,1.3230e+01,1.2328e+01
1.3850e+01,1.3262e+01,1.2349e+01
1.3900e+01,1.3201e+01,1.2333e+01
1.3950e+01,1.2999e+01,1.2371e+01
1.4000e+01,1.2761e+01,1.2515e+01
1.4050e+01,1.2626e+01,1.2699e+01
1.4100e+01,1.2628e+01,1.2784e+01
1.4150e+01,1.2698e+01,1.2679e+01
1.4200e+01,1.2766e+01,1.2440e+01
1.4250e+01,1.2828e+01,1.2235e+01
1.4300e+01,1.2906e+01,1.2208e+01
1.4350e+01,1.2987e+01,1.2343e+01
1.4400e+01,1.3031e+01,1.2481e+01
1.4450e+01,1.3023e+01,1.2504e+01
1.4500e+01,1.2999e+01,1.2453e+01
1.4550e+01,1.2990e+01,1.2443e+01
1.4600e+01,1.2969e+01,1.2521e+01
1.4650e+01,1.2907e+01,1.2621e+01
1.4700e+01,1.2844e+01,1.2641e+01
1.4750e+01,1.2877e+01,1.2545e+01
1.4800e+01,1.3017e+01,1.2405e+01
1.4850e+01,1.3133e+01,1.2319e+01
1.4900e+01,1.3095e+01,1.2306e+01
1.4950e+01,1.2937e+01,1.2290e+01
1.5000e+01,1.2832e+01,1.2192e+01
1.5050e+01,1.2905e+01,1.2019e+01
1.5100e+01,1.3105e+01,1.1854e+01
1.5150e+01,1.3287e+01,1.1772e+01
1.5200e+01,1.3400e+01,1.1781e+01
1.5250e+01,1.3530e+01,1.1830e+01
1.5300e+01,1.3725e+01,1.1866e+01
1.5350e+01,1.3866e+01,1.1874e+01
1.5400e+01,1.3807e+01,1.1870e+01
1.5450e+01,1.3595e+01,1.1877e+01
1.5500e+01,1.3430e+01,1.1908e+01
1.5550e+01,1.3423e+01,1.1935e+01
1.5600e+01,1.3514e+01,1.1907e+01
1.5650e+01,1.3614e+01,1.1806e+01
1.5700e+01,1.3736e+01,1.1698e+01
1.5750e+01,1.3923e+01,1.1692e+01
1.5800e+01,1.4147e+01,1.1831e+01
1.5850e+01,1.4317e+01,1.2019e+01
1.5900e+01,1.4353e+01,1.2105e+01
1.5950e+01,1.4227e+01,1.2056e+01
1.6000e+01,1.3990e+01,1.2013e+01
1.6050e+01,1.3763e+01,1.2105e+01
