t,x1,y1,z1,x2,y2,z2
4.050000e+01,5.129852e-02,5.794063e-02,5.548219e-02,2.848856e-02,7.203435e-02,3.712603e-02
4.100000e+01,5.127292e-02,5.383942e-02,6.040747e-02,2.791616e-02,6.779937e-02,3.500999e-02
4.150000e+01,5.199765e-02,5.793616e-02,5.636350e-02,2.856319e-02,7.188658e-02,3.129146e-02
4.200000e+01,5.186882e-02,5.615286e-02,5.232025e-02,2.914784e-02,7.017579e-02,3.133127e-02
4.250000e+01,5.159170e-02,5.687490e-02,5.009994e-02,2.887805e-02,7.100796e-02,3.454490e-02
4.300000e+01,5.259431e-02,5.519402e-02,5.098715e-02,2.948725e-02,6.931042e-02,3.518927e-02
4.350000e+01,5.350099e-02,5.578917e-02,4.157431e-02,3.076199e-02,6.973232e-02,1.962510e-02
4.400000e+01,5.226904e-02,5.521453e-02,4.378716e-02,2.958889e-02,6.906282e-02,1.588041e-02
4.450000e+01,5.266327e-02,5.431099e-02,4.471623e-02,2.930896e-02,6.819422e-02,1.795748e-02
4.500000e+01,5.317673e-02,5.432517e-02,3.698901e-02,2.964771e-02,6.838495e-02,1.978443e-02
4.550000e+01,5.241594e-02,5.620778e-02,3.817455e-02,2.939648e-02,7.034339e-02,2.450783e-02
4.600000e+01,5.222564e-02,5.420531e-02,4.425464e-02,2.890665e-02,6.829696e-02,2.680513e-02
4.650000e+01,5.227122e-02,5.530734e-02,5.030864e-02,2.843986e-02,6.923861e-02,2.455633e-02
4.700000e+01,5.278647e-02,5.598938e-02,5.601877e-02,2.906994e-02,6.982140e-02,2.617383e-02
4.750000e+01,5.211337e-02,5.348550e-02,5.822295e-02,2.860085e-02,6.750922e-02,3.642828e-02
4.800000e+01,5.266244e-02,5.524027e-02,5.611726e-02,2.875984e-02,6.939735e-02,4.205829e-02
4.850000e+01,5.294749e-02,5.537214e-02,5.664433e-02,2.884478e-02,6.952011e-02,4.206908e-02
4.900000e+01,5.179908e-02,5.351571e-02,5.605212e-02,2.859527e-02,6.753235e-02,3.419792e-02
4.950000e+01,5.189079e-02,5.123838e-02,5.885997e-02,2.867631e-02,6.508851e-02,2.918206e-02
5.000000e+01,5.234792e-02,5.502999e-02,5.189838e-02,2.845606e-02,6.895701e-02,2.639411e-02
5.050000e+01,5.185128e-02,5.352233e-02,4.061477e-02,2.893723e-02,6.761197e-02,2.396404e-02
5.100000e+01,5.175595e-02,5.446983e-02,3.684672e-02,2.897954e-02,6.863826e-02,2.457421e-02
5.150000e+01,5.290899e-02,5.357932e-02,4.071944e-02,2.934899e-02,6.763568e-02,2.264457e-02
5.200000e+01,5.179641e-02,5.388487e-02,4.353635e-02,2.903060e-02,6.776315e-02,1.616715e-02
5.250000e+01,5.292602e-02,5.299722e-02,4.197052e-02,3.045499e-02,6.679646e-02,1.205020e-02
5.300000e+01,5.366794e-02,5.412474e-02,4.201710e-02,3.049707e-02,6.813423e-02,2.217264e-02
5.350000e+01,5.143792e-02,5.535371e-02,4.112853e-02,2.827279e-02,6.955249e-02,2.867990e-02
5.400000e+01,5.263974e-02,5.502555e-02,5.342338e-02,2.953219e-02,6.913027e-02,3.611080e-02
5.450000e+01,5.419698e-02,5.346370e-02,6.114349e-02,3.076259e-02,6.738426e-02,3.654154e-02
5.500000e+01,5.042620e-02,5.595819e-02,6.315179e-02,2.690665e-02,6.990726e-02,3.548337e-02
5.550000e+01,5.091699e-02,5.514905e-02,5.913997e-02,2.734070e-02,6.918141e-02,3.593064e-02
5.600000e+01,5.364587e-02,5.410000e-02,5.265829e-02,3.029652e-02,6.820986e-02,3.756807e-02
5.650000e+01,5.133845e-02,5.551514e-02,5.028871e-02,2.766305e-02,6.967339e-02,3.479314e-02
5.700000e+01,5.128600e-02,5.485359e-02,4.943722e-02,2.716850e-02,6.889136e-02,2.732996e-02
5.750000e+01,5.352240e-02,5.336020e-02,4.824007e-02,2.996557e-02,6.723168e-02,2.119621e-02
5.800000e+01,5.223840e-02,5.655626e-02,4.122151e-02,2.911098e-02,7.046697e-02,1.517256e-02
5.850000e+01,5.037464e-02,5.678523e-02,3.963137e-02,2.642929e-02,7.093744e-02,2.211465e-02
5.900000e+01,5.218249e-02,5.449774e-02,3.784123e-02,2.891337e-02,6.864517e-02,2.357135e-02
5.950000e+01,5.317536e-02,5.521395e-02,4.052992e-02,3.049352e-02,6.923542e-02,2.173998e-02
6.000000e+01,5.105948e-02,5.833827e-02,4.566132e-02,2.726475e-02,7.232102e-02,2.155319e-02
6.050000e+01,5.073651e-02,5.467469e-02,5.596993e-02,2.749891e-02,6.856684e-02,2.654354e-02
6.100000e+01,5.429252e-02,5.231996e-02,5.434872e-02,3.185003e-02,6.628172e-02,3.319503e-02
6.150000e+01,5.251743e-02,5.637102e-02,5.185518e-02,2.919440e-02,7.049345e-02,3.611008e-02
